RAW:Pc,RAW:Pc + m,RAW:Ph,RAW:Ph + m,RAW:Pc',dMeasure,drMeasure,Pc,PcPlusM,PhPlusM,Ph,Yvalue
-82828,-82894,-82865,-82822,-82786,5.06718396245638e-14,1.00971777124234,5.214347854144578e-12,5.148372138389689e-12,5.195448499498829e-12,5.259560600208024e-12,1.0086708342688546
-82904,-82827,-82896,-82856,-82891,1.5360636188062884e-14,1.0029978451983288,5.1238923866467956e-12,5.2193887993957706e-12,5.141019961896924e-12,5.1923583278609905e-12,1.0133620958536564
-82819,-82786,-82856,-82857,-82969,-1.7738975515433625e-13,0.966050878989816,5.225164890163819e-12,5.220672254980557e-12,5.092142973142775e-12,5.046602739684576e-12,0.9658265041902544
-82.81,-82969,-82895,-82.81,-82891,-9.675134302263656e-14,0.9815219132257558,5.236004365857495e-12,5.023587299253824e-12,5.086146103518345e-12,5.1634408585905176e-12,0.9861414349193168
-82863,-82819,-82842,-82973,-82854,1.07302113406971e-14,1.0020744753364823,5.172494052829927e-12,5.227847442998994e-12,5.2029309522539614e-12,5.051175761169521e-12,0.9765454942197503
-82768,-82833,-82824,-82774,-82826,-7.013695543278514e-14,0.9867337887185637,5.286886658508813e-12,5.190813829883876e-12,5.1840841806381e-12,5.226984881262736e-12,0.9886697443854465
-82767,-82829,-82935,-82781,-82896,-1.5476450551017137e-13,0.970733461153507,5.288104149313063e-12,5.174456218022271e-12,5.010065943691825e-12,5.155011383231327e-12,0.9748316670164249
-82893,-82741,-82833,-82936,-82.95,-6.697977148019307e-14,0.9869610187296467,5.1368868542272376e-12,5.303112566300602e-12,5.174858183001976e-12,5.036042074454206e-12,0.9803685028238369
-82809,-82801,-82.91,-82712,-82.85,-4.920974994233506e-14,0.9906038236706018,5.237210139231944e-12,5.2345638902905755e-12,5.0922134804319054e-12,5.318592395944381e-12,1.015539238363342
-82803,-82854,-82897,-82765,-82849,-5.525550475223475e-14,0.9894640051300763,5.244450612819528e-12,5.1694103879825655e-12,5.104530032364443e-12,5.249098343531638e-12,1.0008862187968266
-82.84,-82876,-82885,-82924,-82858,-2.150742933491321e-14,0.9958639240535908,5.1999599653351514e-12,5.151657205692717e-12,5.135604355469803e-12,5.0842196675932735e-12,0.9777420790710996
-82.8,-82972,-82995,-82812,-82812,-1.4480950630154408e-14,0.9972407117415476,5.248074602497734e-12,5.0406692218666016e-12,5.010405315052009e-12,5.222732938894964e-12,0.9951712455477083
-82.89,-82846,-82956,-82874,-82836,6.431499588096106e-14,1.0125115825636548,5.140436515824264e-12,5.208859664379059e-12,5.095065081400695e-12,5.207645758814034e-12,1.0130746178428376
-82857,-82802,-82854,-82874,-82902,-5.339248634749735e-14,0.9896918638691025,5.179645056050328e-12,5.232310209651238e-12,5.156528020996875e-12,5.11936514714269e-12,0.9883621544999062
-82.91,-82912,-82895,-82774,-82889,2.480192595128351e-14,1.0048471382465813,5.116818355403073e-12,5.120662997450869e-12,5.146922738005305e-12,5.298189042300787e-12,1.035445988952529
-82961,-82852,-82826,-82808,-83.01,-5.673670001621982e-14,0.988780743626926,5.057082049786003e-12,5.171427601854347e-12,5.188381353067918e-12,5.195863665265732e-12,1.0274430223028717
-82714,-82818,-82805,-82861,-82923,-2.515092035858372e-13,0.9530155787081236,5.3530339774414306e-12,5.1634908664729e-12,5.11628140829171e-12,4.986244720245406e-12,0.9314801178655441
-82779,-82874,-82911,-82799,-82942,-1.9425794197420301e-13,0.9631634640239782,5.273512745624412e-12,5.110845026409763e-12,5.01851132908294e-12,5.1035896989861834e-12,0.9677780153695051
-82836,-82791,-82872,-82855,-82954,-1.395118361963952e-13,0.9731952935922801,5.204751511705225e-12,5.224083644775514e-12,5.092030136868525e-12,5.077397042924966e-12,0.9755311145029988
-82815,-82802,-82917,-82715,-82885,-8.362159168430374e-14,0.9840111057611305,5.229979661821563e-12,5.2247529333170365e-12,5.066766865791406e-12,5.289085343949644e-12,1.0113013216016014
-82856,-82907,-83028,-82738,-82867,-1.3105647720351265e-14,0.9974703613396181,5.1808378507199435e-12,5.117077737452989e-12,4.973110717784665e-12,5.313704370292356e-12,1.0256457591225228
-82859,-82831,-82885,-82902,-82872,-1.5474235539704487e-14,0.9970111150161641,5.1772602905064266e-12,5.206878595148987e-12,5.138620952367407e-12,5.114646893048052e-12,0.9879060750387249
-82852,-82904,-82893,-82774,-82764,1.0614652734507836e-13,1.020469431942201,5.185611776858402e-12,5.150429018483065e-12,5.189960117899776e-12,5.3591974933461335e-12,1.0334744913343463
-82927,-82.95,-82865,-82855,-82882,5.308601742439425e-14,1.0104155005282136,5.096828259054277e-12,5.083178587103143e-12,5.196655588398744e-12,5.221845433140558e-12,1.024528425862534
-82794,-82939,-82851,-82935,-82893,-1.1844324204198361e-13,0.9774622640495852,5.255330096269221e-12,5.053153830173245e-12,5.127584324553429e-12,4.998615764915423e-12,0.9511516257492483
-82743,-82913,-82885,-82829,-82841,-1.1864542012857695e-13,0.9776873589674246,5.317408188271428e-12,5.083623647987504e-12,5.087035360072971e-12,5.124163279303381e-12,0.9636580638299903
-82842,-82782,-82919,-82847,-82935,-1.101176501367023e-13,0.9788136113351824,5.197565846583613e-12,5.242341777433056e-12,5.051166791231216e-12,5.108997133461029e-12,0.9829595784378948
-82804,-82777,-82813,-82821,-82.86,-6.717485295069095e-14,0.9871883010683976,5.243243172456372e-12,5.2591481340322864e-12,5.1988012846489325e-12,5.172378027074696e-12,0.9864844823993779
-82814,-82833,-82882,-82741,-82851,-4.437810222247474e-14,0.9915166238050515,5.231184047796896e-12,5.197253543186454e-12,5.1277252253674335e-12,5.286573932503794e-12,1.0105884029697303
-82854,-82761,-82813,-82906,-82942,-1.0396946052041553e-13,0.9799411610955924,5.183224264170624e-12,5.269422619036575e-12,5.180403980864071e-12,5.0435561948546625e-12,0.9730538247628168
-82771,-82852,-82798,-82869,-82708,7.719871049145056e-14,1.0146120128695857,5.2832358676699855e-12,5.204911454481265e-12,5.289091341993351e-12,5.223251955132827e-12,0.9886463686196141
-82804,-82.84,-82919,-82847,-82.78,2.9055441771849945e-14,1.0055415018560427,5.243243172456372e-12,5.2072238257781135e-12,5.120753337185492e-12,5.213376952392442e-12,0.994303865168638
-82898,-82796,-82815,-82917,-82937,-4.5870318428953824e-14,0.9910601186478315,5.130976197780005e-12,5.2414429048932414e-12,5.2070445026070865e-12,5.074174922811842e-12,0.9889297332946625
-82777,-82924,-82793,-82837,-82913,-1.6265684425031102e-13,0.9691700839472903,5.275941847269959e-12,5.059686028531881e-12,5.175211897944701e-12,5.081560578157858e-12,0.9631570485916776
-82.82,-82767,-82993,-82831,-82908,-1.047866099940984e-13,0.9799411610955924,5.223961889991198e-12,5.261907496814539e-12,4.967563728792436e-12,5.1321571965383394e-12,0.9824262321613121
-82831,-82769,-82905,-82871,-82864,-3.9443974864288615e-14,0.9924302650467788,5.210747154033913e-12,5.275808454293815e-12,5.1029907152132456e-12,5.133391755827685e-12,0.9851546436778567
-82759,-82.9,-82908,-82746,-82839,-9.669673626457013e-14,0.9817479430199864,5.297854174488645e-12,5.104439655847496e-12,5.0708269118648145e-12,5.241213768988676e-12,0.9893088024633226
-82915,-82715,-82808,-82792,-82867,5.680141262569503e-14,1.0111137119549098,5.110930790373897e-12,5.366001890869295e-12,5.266816896590744e-12,5.3003518820362204e-12,1.037061955919866
-82914,-82714,-82.72,-82938,-82829,1.0103958322240379e-13,1.0197647600447164,5.11210776117741e-12,5.378293873247031e-12,5.396163385580916e-12,5.159714812661648e-12,1.009312607188326
-82.88,-82.83,-82.81,-82881,-82802,9.337188542055106e-14,1.018122417377696,5.152286445817561e-12,5.235290082405949e-12,5.282690308567771e-12,5.221129138660486e-12,1.0133615810314291
-82.89,-82.84,-82849,-82894,-82905,-1.7723813178873984e-14,0.996552080134768,5.140436515824264e-12,5.1955290120404325e-12,5.180333201477856e-12,5.122411318599392e-12,0.9964934500855358
-82873,-82855,-82849,-82.86,-82918,-5.319614305825427e-14,0.9896918638691024,5.1605976466302034e-12,5.1687318843076986e-12,5.162597036538166e-12,5.13617121221199e-12,0.9952667431001594
-82888,-82879,-82.92,-82833,-82926,-4.4802337231867574e-14,0.9912883449478924,5.142804319487918e-12,5.1422723559010615e-12,5.082648831138131e-12,5.174746315818172e-12,1.0062110075254496
-82973,-82826,-82812,-82932,-82952,2.444473910883171e-14,1.0048471382465813,5.043128102663998e-12,5.222860887853236e-12,5.245816021421995e-12,5.109297249562555e-12,1.0131206555835066
-82.79,-82845,-82839,-82805,-82729,7.4404481344287e-14,1.0141448743412582,5.260172663907063e-12,5.2125778554061536e-12,5.238359678896218e-12,5.2978393710928435e-12,1.0071607358907118
-82779,-82893,-82922,-82.8,-82714,7.952123181701873e-14,1.0150793665726892,5.273512745624412e-12,5.156767162181493e-12,5.142460194502906e-12,5.307715526360498e-12,1.0064857680991603
-82785,-82809,-82822,-82926,-82.83,-5.428503788817119e-14,0.9896918638691027,5.266232148938982e-12,5.223638879759901e-12,5.194414201545515e-12,5.0572882038399226e-12,0.9603238256138866
-82782,-82818,-82885,-82801,-82763,2.3105726907507417e-14,1.0043844955739138,5.269871189967232e-12,5.232144599096236e-12,5.157910933591014e-12,5.2641956229567896e-12,0.9989230159892243
-82.9,-82839,-82833,-82795,-82789,1.32770162964872e-13,1.025888118526605,5.128613839913638e-12,5.234349978965293e-12,5.274733150224509e-12,5.353697773324444e-12,1.043887869205336
-82781,-82786,-82794,-82986,-82867,-1.033525593643629e-13,0.9803925446044218,5.271084762363955e-12,5.239181553928051e-12,5.20365381658704e-12,4.9505403532831144e-12,0.9391881512948609
-82781,-82864,-82.87,-82854,-82867,-1.033525593643629e-13,0.9803925446044218,5.271084762363955e-12,5.145465039328534e-12,5.112487413038519e-12,5.105709844647352e-12,0.9686260181400619
-82.84,-82719,-82743,-82879,-82959,-1.4054850687577545e-13,0.9729712328916523,5.1999599653351514e-12,5.3117374888971475e-12,5.24713393483354e-12,5.048061560052197e-12,0.9707885433165707
